,林業産出額,計,製材用素材等,輸出丸太,燃料用チップ素材,栽培キノコ類生産,薪炭生産,林野副産物採取,生産林業所得,木材生産
1971," 105,550"," 98,941"," 98,913",  28,,"  4,415","  1,587",  607," 48,310"," 42,550"
1972," 71,063"," 64,175"," 64,162",  13,,"  4,943","  1,299",  646," 56,204"," 50,647"
1973," 96,323"," 88,720"," 88,700",  20,,"  6,205",  751,  648," 75,588"," 69,452"
1974," 97,300"," 88,069"," 88,038",  31,,"  7,898",  877,  456," 76,354"," 68,967"
1975," 90,199"," 78,610"," 78,527",  83,," 10,148",  861,  580," 70,037"," 61,030"
1976," 93,979"," 81,488"," 81,445",  43,," 11,135",  681,  674," 72,591"," 62,675"
1977," 91,656"," 75,994"," 75,939",  55,," 14,476",  630,  555," 68,512"," 57,434"
1978," 90,814"," 73,565"," 73,496",  69,," 16,000",  544,  705," 67,050"," 55,510"
1979," 108,756"," 91,386"," 91,318",  68,," 15,853",  630,  887," 80,417"," 69,283"
1980," 115,882"," 96,799"," 96,739",  60,," 17,615",  650,  818," 85,435"," 73,148"
1981," 97,254"," 79,257"," 79,177",  80,," 16,773",  664,  559," 71,170"," 59,577"
1982," 93,732"," 75,028"," 74,958",  70,," 17,183",  626,  896," 68,140"," 56,042"
1983," 95,092"," 73,089"," 72,994",  95,," 20,330",  590,"  1,082"," 68,426"," 54,078"
1984," 95,547"," 73,050"," 72,958",  92,," 21,333",  608,  556," 67,927"," 53,679"
1985," 91,801"," 70,932"," 70,879",  53,," 19,127",  628,"  1,114"," 65,417"," 52,216"
1986," 84,909"," 64,108"," 64,052",  56,," 19,433",  705,  663," 60,409"," 47,490"
1987," 88,539"," 67,572"," 67,510",  62,," 19,319",  684,  965," 63,806"," 50,626"
1988," 93,884"," 71,190"," 71,152",  38,," 21,025",  686,  984," 67,526"," 53,227"
1989," 98,214"," 74,347"," 74,308",  39,," 21,996",  776,"  1,094"," 70,874"," 55,705"
1990," 97,745"," 72,845"," 72,814",  31,," 22,943",  826,"  1,132"," 70,271"," 54,522"
1991," 95,573"," 69,670"," 69,648",  22,," 23,955",  878,"  1,069"," 68,405"," 52,009"
1992," 88,712"," 63,578"," 63,564",  14,," 23,321",  934,  880," 62,493"," 46,614"
1993," 87,335"," 62,267"," 62,249",  18,," 22,855",  825,"  1,388"," 61,495"," 45,855"
1994," 82,498"," 58,726"," 58,710",  16,," 22,492",  780,  501," 57,054"," 43,081"
1995," 76,066"," 52,672"," 52,661",  11,," 21,832",  793,  770," 53,299"," 38,627"
1996," 78,394"," 53,281"," 53,261",  20,," 23,312",  759,"  1,042"," 55,121"," 39,215"
1997," 71,810"," 46,775"," 46,764",  11,," 23,598",  700,  737," 50,106"," 34,187"
1998," 61,692"," 37,372"," 37,369",  3,," 23,073",  669,  578," 42,209"," 26,786"
1999," 58,271"," 36,261"," 36,257",  4,," 20,781",  733,  496," 39,313"," 25,379"
2000," 53,115"," 32,218"," 32,213",  6,," 19,689",  616,  592," 35,191"," 22,200"
2001," 48,846"," 27,391"," 27,387",  4,," 20,257",  872,  326," 31,746"," 18,542"
2002," 45,725"," 23,383"," 23,380",  3,," 21,313",  756,  273," 29,108"," 15,720"
2003," 44,852"," 23,152"," 23,142",  11,," 20,665",  755,  279," 28,308"," 15,518"
2004," 43,471"," 22,058"," 22,048",  10,," 20,364",  649,  400," 26,401"," 14,418"
2005," 41,705"," 21,050"," 21,023",  28,," 19,850",  609,  196," 24,578"," 13,362"
2006," 43,232"," 21,724"," 21,685",  39,," 20,705",  560,  243," 24,884"," 13,637"
2007," 44,167"," 22,580"," 22,556",  24,," 20,830",  548,  208," 24,652"," 13,840"
2008," 44,544"," 21,387"," 21,330",  57,," 22,398",  505,  255," 24,196"," 12,898"
2009," 41,262"," 18,649"," 18,607",  41,," 22,001",  491,  122," 21,955"," 11,266"
2010," 42,570"," 19,529"," 19,455",  74,," 21,891",  508,  642," 22,922"," 11,873"
2011," 42,231"," 20,833"," 20,552",  114,  168," 20,472",  506,  419," 22,837"," 12,742"
2012," 39,808"," 19,662"," 19,333",  119,  210," 19,315",  439,  392," 21,410"," 11,975"
2013," 43,312"," 21,968"," 21,434",  293,  240," 20,373",  553,  418," 23,442"," 13,533"
2014," 46,400"," 24,586"," 23,545",  625,  416," 20,840",  566,  408," 25,262"," 15,126"
2015," 45,447"," 23,408"," 21,827",  759,  822," 21,052",  531,  455," 25,102"," 14,408"
2016," 47,026"," 23,700"," 21,502",  679,"  1,519"," 22,139",  549,  638," 26,011"," 14,611"
2017," 48,602"," 25,609"," 22,500",  964,"  2,145"," 21,976",  544,  474," 26,940"," 15,783"
2018," 50,173"," 26,483"," 22,892","1,116","  2,476"," 22,537",  554,  599," 26,645"," 15,096"
2019," 49,728"," 27,000"," 23,043","1,092","  2,866"," 21,667",  581,  480," 26,435"," 15,390"
2020," 48,303"," 24,643"," 19,533","1,239","  3,871"," 22,593",  596,  471," 25,356"," 14,046"
2021," 54,563"," 32,541"," 26,745","1,633","  4,163"," 20,913",  623,  486," 28,644"," 18,549"
2022," 57,925"," 36,046"," 29,379","1,697","  4,970"," 20,664",  639,  576," 30,632"," 20,546"
2023," 55,600"," 32,570"," 24,909","1,713","  5,949"," 21,981",  703,  345," 31,476"," 20,975"
